Player Name,Role,Team
MS Dhoni,Wicketkeeper Batter,Chennai Super Kings
C Andre Siddarth,Batter,Chennai Super Kings
Dewald Brevis,Middle order Batter,Chennai Super Kings
Devon Conway,Wicketkeeper Batter,Chennai Super Kings
Urvil Patel,Wicketkeeper Batter,Chennai Super Kings
Shaik Rasheed,Batter,Chennai Super Kings
Rahul Tripathi,Top order Batter,Chennai Super Kings
Vansh Bedi,Wicketkeeper Batter,Chennai Super Kings
Ruturaj Gaikwad,Batter,Chennai Super Kings
Ravichandran Ashwin,Bowling Allrounder,Chennai Super Kings
Sam Curran,Allrounder,Chennai Super Kings
Shivam Dube,Allrounder,Chennai Super Kings
Ramakrishna Ghosh,Bowling Allrounder,Chennai Super Kings
Shreyas Gopal,Allrounder,Chennai Super Kings
Deepak Hooda,Allrounder,Chennai Super Kings
Ravindra Jadeja,Allrounder,Chennai Super Kings
Ayush Mhatre,Batting Allrounder,Chennai Super Kings
Vijay Shankar,Allrounder,Chennai Super Kings
Jamie Overton,Bowling Allrounder,Chennai Super Kings
Rachin Ravindra,Batting Allrounder,Chennai Super Kings
Khaleel Ahmed,Bowler,Chennai Super Kings
Anshul Kamboj,Bowler,Chennai Super Kings
Mukesh Choudhary,Bowler,Chennai Super Kings
Kamlesh Nagarkoti,Bowler,Chennai Super Kings
Noor Ahmad,Bowler,Chennai Super Kings
Matheesha Pathirana,Bowler,Chennai Super Kings
Nathan Ellis,Bowler,Chennai Super Kings
Gurjapneet Singh,Bowler,Chennai Super Kings
Faf du Plessis,Middle order Batter,Delhi Capitals
Abishek Porel,Wicketkeeper Batter,Delhi Capitals
Karun Nair,Top order Batter,Delhi Capitals
KL Rahul,Wicketkeeper Batter,Delhi Capitals
Sameer Rizvi,Batter,Delhi Capitals
Sediqullah Atal,Opening Batter,Delhi Capitals
Tristan Stubbs,Batter,Delhi Capitals
Harry Brook,Batter,Delhi Capitals
Donovan Ferreira,Middle order Batter,Delhi Capitals
Jake Fraser-McGurk,Batter,Delhi Capitals
Axar Patel,Allrounder,Delhi Capitals
Ajay Mandal,Allrounder,Delhi Capitals
Manvanth Kumar,Allrounder,Delhi Capitals
Ashutosh Sharma,Batting Allrounder,Delhi Capitals
Madhav Tiwari,Allrounder,Delhi Capitals
Dushmantha Chameera,Bowler,Delhi Capitals
Kuldeep Yadav,Bowler,Delhi Capitals
Mukesh Kumar,Bowler,Delhi Capitals
Mustafizur Rahman,Bowler,Delhi Capitals
Darshan Nalkande,Bowler,Delhi Capitals
T Natarajan,Bowler,Delhi Capitals
Vipraj Nigam,Bowler,Delhi Capitals
Mohit Sharma,Bowler,Delhi Capitals
Tripurana Vijay,Bowler,Delhi Capitals
Mitchell Starc,Bowler,Delhi Capitals
Shubman Gill,Top order Batter,Gujarat Titans
Anuj Rawat,Wicketkeeper Batter,Gujarat Titans
Kumar Kushagra,Wicketkeeper Batter,Gujarat Titans
Kusal Mendis,Wicketkeeper Batter,Gujarat Titans
Sherfane Rutherford,Middle order Batter,Gujarat Titans
Sai Sudharsan,Top order Batter,Gujarat Titans
M Shahrukh Khan,Batter,Gujarat Titans
Jos Buttler,Wicketkeeper Batter,Gujarat Titans
Rashid Khan,Bowling Allrounder,Gujarat Titans
Karim Janat,Batting Allrounder,Gujarat Titans
Mahipal Lomror,Allrounder,Gujarat Titans
Dasun Shanaka,Allrounder,Gujarat Titans
Nishant Sindhu,Allrounder,Gujarat Titans
Manav Suthar,Bowling Allrounder,Gujarat Titans
Rahul Tewatia,Bowling Allrounder,Gujarat Titans
Washington Sundar,Bowling Allrounder,Gujarat Titans
Glenn Phillips,Allrounder,Gujarat Titans
Arshad Khan,Bowler,Gujarat Titans
Gerald Coetzee,Bowler,Gujarat Titans
Gurnoor Brar,Bowler,Gujarat Titans
Kulwant Khejroliya,Bowler,Gujarat Titans
Mohammed Siraj,Bowler,Gujarat Titans
Prasidh Krishna,Bowler,Gujarat Titans
Kagiso Rabada,Bowler,Gujarat Titans
Sai Kishore,Bowler,Gujarat Titans
Ishant Sharma,Bowler,Gujarat Titans
Jayant Yadav,Bowler,Gujarat Titans
Ajinkya Rahane,Top order Batter,Kolkata Knight Riders
Quinton de Kock,Wicketkeeper Batter,Kolkata Knight Riders
Manish Pandey,Top order Batter,Kolkata Knight Riders
Angkrish Raghuvanshi,Top order Batter,Kolkata Knight Riders
Rahmanullah Gurbaz,Wicketkeeper Batter,Kolkata Knight Riders
Ramandeep Singh,Middle order Batter,Kolkata Knight Riders
Rinku Singh,Middle order Batter,Kolkata Knight Riders
Luvnith Sisodia,Wicketkeeper Batter,Kolkata Knight Riders
Rovman Powell,Middle order Batter,Kolkata Knight Riders
Venkatesh Iyer,Allrounder,Kolkata Knight Riders
Sunil Narine,Bowling Allrounder,Kolkata Knight Riders
Anukul Roy,Allrounder,Kolkata Knight Riders
Andre Russell,Allrounder,Kolkata Knight Riders
Moeen Ali,Batting Allrounder,Kolkata Knight Riders
Vaibhav Arora,Bowler,Kolkata Knight Riders
Harshit Rana,Bowler,Kolkata Knight Riders
Spencer Johnson,Bowler,Kolkata Knight Riders
Mayank Markande,Bowler,Kolkata Knight Riders
Anrich Nortje,Bowler,Kolkata Knight Riders
Chetan Sakariya,Bowler,Kolkata Knight Riders
Varun Chakravarthy,Bowler,Kolkata Knight Riders
Umran Malik,Bowler,Kolkata Knight Riders
Shivam Shukla,,Kolkata Knight Riders
Rishabh Pant,Wicketkeeper Batter,Lucknow Super Giants
Abdul Samad,Batter,Lucknow Super Giants
Ayush Badoni,Batter,Lucknow Super Giants
Matthew Breetzke,Batter,Lucknow Super Giants
Himmat Singh,Batter,Lucknow Super Giants
Aryan Juyal,Wicketkeeper Batter,Lucknow Super Giants
Aiden Markram,Middle order Batter,Lucknow Super Giants
David Miller,Middle order Batter,Lucknow Super Giants
Nicholas Pooran,Wicketkeeper Batter,Lucknow Super Giants
Yuvraj Chaudhary,Batting Allrounder,Lucknow Super Giants
Rajvardhan Hangargekar,Bowling Allrounder,Lucknow Super Giants
Arshin Kulkarni,Allrounder,Lucknow Super Giants
Mitchell Marsh,Allrounder,Lucknow Super Giants
Shahbaz Ahmed,Allrounder,Lucknow Super Giants
Akash Deep,Bowler,Lucknow Super Giants
Akash Singh,Bowler,Lucknow Super Giants
Avesh Khan,Bowler,Lucknow Super Giants
Will O’Rourke,Bowler,Lucknow Super Giants
Prince Yadav,Bowler,Lucknow Super Giants
Digvesh Rathi,Bowler,Lucknow Super Giants
Ravi Bishnoi,Bowler,Lucknow Super Giants
Manimaran Siddharth,Bowler,Lucknow Super Giants
Shardul Thakur,Bowler,Lucknow Super Giants
Shamar Joseph,Bowler,Lucknow Super Giants
Mohsin Khan,Bowler,Lucknow Super Giants
Mayank Yadav,Bowler,Lucknow Super Giants
Jonny Bairstow,Wicketkeeper Batter,Mumbai Indians
Bevon Jacobs,Middle order Batter,Mumbai Indians
Robin Minz,Wicketkeeper,Mumbai Indians
Naman Dhir,Top order Batter,Mumbai Indians
Rohit Sharma,Top order Batter,Mumbai Indians
Krishnan Shrijith,Wicketkeeper Batter,Mumbai Indians
Suryakumar Yadav,Batter,Mumbai Indians
Ryan Rickelton,Wicketkeeper Batter,Mumbai Indians
Hardik Pandya,Allrounder,Mumbai Indians
Charith Asalanka,Batting Allrounder,Mumbai Indians
Raj Bawa,Allrounder,Mumbai Indians
Mitchell Santner,Bowling Allrounder,Mumbai Indians
Tilak Varma,Batting Allrounder,Mumbai Indians
Corbin Bosch,Allrounder,Mumbai Indians
